fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
11.6;0.58;0.66;2.2;0.074;10;47;1.0008;3.25;0.57;9;3
10.4;0.61;0.49;2.1;0.2;5;16;0.9994;3.16;0.63;8.4;3
7.4;1.185;0;4.25;0.097;5;14;0.9966;3.63;0.54;10.7;3
10.4;0.44;0.42;1.5;0.145;34;48;0.99832;3.38;0.86;9.9;3
8.3;1.02;0.02;3.4;0.084;6;11;0.99892;3.48;0.49;11;3
7.6;1.58;0;2.1;0.137;5;9;0.99476;3.5;0.4;10.9;3
6.8;0.815;0;1.2;0.267;16;29;0.99471;3.32;0.51;9.8;3
7.3;0.98;0.05;2.1;0.061;20;49;0.99705;3.31;0.55;9.7;3
7.1;0.875;0.05;5.7;0.082;3;14;0.99808;3.4;0.52;10.2;3
6.7;0.76;0.02;1.8;0.078;6;12;0.996;3.55;0.63;9.95;3
7.4;0.59;0.08;4.4;0.086;6;29;0.9974;3.38;0.5;9;4
5.7;1.13;0.09;1.5;0.172;7;19;0.994;3.5;0.48;9.8;4
8.8;0.61;0.3;2.8;0.088;17;46;0.9976;3.26;0.51;9.3;4
4.6;0.52;0.15;2.1;0.054;8;65;0.9934;3.9;0.56;13.1;4
8.3;0.675;0.26;2.1;0.084;11;43;0.9976;3.31;0.53;9.2;4
8.3;0.625;0.2;1.5;0.08;27;119;0.9972;3.16;1.12;9.1;4
5;1.02;0.04;1.4;0.045;41;85;0.9938;3.75;0.48;10.5;4
9.2;0.52;1;3.4;0.61;32;69;0.9996;2.74;2.0;9.4;4
7.6;0.68;0.02;1.3;0.072;9;20;0.9965;3.17;1.08;9.2;4
7.3;0.55;0.03;1.6;0.072;17;42;0.9956;3.37;0.48;9;4
7.9;0.885;0.03;1.8;0.058;4;8;0.9972;3.36;0.33;9.1;4
6.9;1.09;0.06;2.1;0.061;12;31;0.9948;3.51;0.43;11.4;4
8.4;0.635;0.36;2;0.089;15;55;0.99745;3.31;0.57;10.4;4
7;0.975;0.04;2;0.087;12;67;0.99565;3.35;0.6;9.4;4
8.1;0.87;0;3.3;0.096;26;61;100025;3.6;0.72;9.8;4
12.5;0.46;0.49;4.5;0.07;26;49;0.9981;3.05;0.57;9.6;4
10.5;0.59;0.49;2.1;0.07;14;47;0.9991;3.3;0.56;9.6;4
9.9;0.5;0.24;2.3;0.103;6;14;0.9978;3.34;0.52;10;4
8.2;0.915;0.27;2.1;0.088;7;23;0.9962;3.26;0.47;10;4
10.1;0.935;0.22;3.4;0.105;11;86;1.001;3.43;0.64;11.3;4
8.3;0.845;0.01;2.2;0.07;5;14;0.9967;3.32;0.58;11;4
7.1;0.84;0.02;4.4;0.096;5;13;0.997;3.41;0.57;11;4
